Recursive BFS,adjmatrix,932->2383,66,4538,0.920134,65,0
Iterative DFS,adjmatrix,932->2383,2726,2726,0.70809,2725,0
Recursive DFS,adjmatrix,932->2383,2726,2726,0.709995,2725,0
Dijkstra,adjmatrix,932->2383,66,4964,1.10721,65,21.456
A* (A star),adjmatrix,932->2383,66,66,0.0105227,65,33.898
Iterative BFS,adjlist,4148->4797,56,5807,0.441061,55,0
Recursive BFS,adjlist,4148->4797,56,5807,0.474104,55,0
Iterative DFS,adjlist,4148->4797,2420,2814,0.36859,2419,0
Recursive DFS,adjlist,4148->4797,2420,2814,0.371633,2419,0
Dijkstra,adjlist,4148->4797,66,6361,0.64093,65,17.386
A* (A star),adjlist,4148->4797,56,56,0.00298979,55,27.237
Iterative BFS,adjmatrix,4148->4797,56,5843,1.28507,55,0
Recursive BFS,adjmatrix,4148->4797,56,5843,1.2841,55,0
Iterative DFS,adjmatrix,4148->4797,1460,1460,0.274374,1459,0
Recursive DFS,adjmatrix,4148->4797,1460,1460,0.27057,1459,0
Dijkstra,adjmatrix,4148->4797,66,6361,1.52066,65,17.386
A* (A star),adjmatrix,4148->4797,56,56,0.0103272,55,27.237
Iterative BFS,adjlist,5900->810,141,9839,0.46417,140,0
Recursive BFS,adjlist,5900->810,141,9839,0.469032,140,0
Iterative DFS,adjlist,5900->810,4513,4554,1.11721,4512,0
Recursive DFS,adjlist,5900->810,4513,4554,1.11407,4512,0
Dijkstra,adjlist,5900->810,147,9790,1.18437,146,39.116
A* (A star),adjlist,5900->810,141,141,0.00487992,140,53.482
Iterative BFS,adjmatrix,5900->810,141,9837,2.46556,140,0
Recursive BFS,adjmatrix,5900->810,141,9837,2.44952,140,0
Iterative DFS,adjmatrix,5900->810,4581,5536,2.34799,4580,0
Recursive DFS,adjmatrix,5900->810,4581,5536,2.32873,4580,0
Dijkstra,adjmatrix,5900->810,147,9790,2.84173,146,39.116
A* (A star),adjmatrix,5900->810,141,141,0.0207575,140,53.482
Iterative BFS,adjlist,7975->5970,26,1226,0.0154817,25,0
Recursive BFS,adjlist,7975->5970,26,1226,0.0157141,25,0
Iterative DFS,adjlist,7975->5970,346,9564,1.48679,345,0
Recursive DFS,adjlist,7975->5970,346,9564,1.55344,345,0
Dijkstra,adjlist,7975->5970,30,1337,0.0280779,29,8.508
A* (A star),adjlist,7975->5970,26,26,0.00156503,25,12.358
Iterative BFS,adjmatrix,7975->5970,26,1195,0.19708,25,0
Recursive BFS,adjmatrix,7975->5970,26,1195,0.160498,25,0
Iterative DFS,adjmatrix,7975->5970,2036,2037,0.442888,2035,0
Recursive DFS,adjmatrix,7975->5970,2036,2037,0.409184,2035,0
